date,hour,slug,yes_token,no_token,utc_time
2025-07-01,12am,bitcoin-up-or-down-july-1-12am-et,59073942329487752918800902520945779368161235911252253411084028522994463126678,91662583125064725415305213574608406435206409325679295063370926871665045719060,2025-07-01T04:00:00Z
2025-07-01,1am,bitcoin-up-or-down-july-1-1am-et,79613023052105491871746843378767498913791171646978441038144308731966608029630,82923159592433781770096609729416148521475951873279556262771555961608312566139,2025-07-01T05:00:00Z
2025-07-01,2am,bitcoin-up-or-down-july-1-2am-et,106630901016006895099868126416859589425454950775023290230500682496493911051441,81764758892978693233467650800704750156267547369928531234602374668100645126034,2025-07-01T06:00:00Z
2025-07-01,3am,bitcoin-up-or-down-july-1-3am-et,27716803389302007453420525571973486415843330172655486003916524243926877826075,48610850985536954608644241945387685723326257502301041591660899134212359023647,2025-07-01T07:00:00Z
2025-07-01,4am,bitcoin-up-or-down-july-1-4am-et,99132409842463409838657005674689318126829962761971745291293062120708289729105,90528075504307679914903355057927990810131005495553998292571887902611229138126,2025-07-01T08:00:00Z
2025-07-01,5am,bitcoin-up-or-down-july-1-5am-et,14141382080848738632479532740794389335757964386864345245158233425638591785921,90824929719925239183015957164573415812136091542355847659865861501094366564369,2025-07-01T09:00:00Z
2025-07-01,6am,bitcoin-up-or-down-july-1-6am-et,57298184049040412713553313297895821600659749974975859517873621537480726988488,108390273565563334493232899886266887468061195210663240696725960144070903965277,2025-07-01T10:00:00Z
2025-07-01,7am,bitcoin-up-or-down-july-1-7am-et,4252655937572452738644253279235336041004672248810237792872602615444552408620,10809018444284588104082019568818638276818576409373094740607210353378088256636,2025-07-01T11:00:00Z
2025-07-01,8am,bitcoin-up-or-down-july-1-8am-et,66038031192552554338683200402865033213847911990268931623481452326900769799903,26376448318354838680271150626133679707805597408737989200281130596969911103338,2025-07-01T12:00:00Z
2025-07-01,9am,bitcoin-up-or-down-july-1-9am-et,50704109090503814735073040050151917246370559483928431298436905416986421595582,100083552509691142292207870188516854796205829309704744700254679067151310243688,2025-07-01T13:00:00Z
2025-07-01,10am,bitcoin-up-or-down-july-1-10am-et,10890993190172615689828099253422057998283388718370980131163076063768399750161,24855198504384033737442868641955352560031435196817037488250848355994293752732,2025-07-01T14:00:00Z
2025-07-01,11am,bitcoin-up-or-down-july-1-11am-et,70736657810850110561832878362044951186392618432618407822101604987850031687396,25164024991019214338220790643157545267726771829979935649914961929189170536689,2025-07-01T15:00:00Z
2025-07-01,12pm,bitcoin-up-or-down-july-1-12pm-et,13338798053510886281176949453068564657779800890501273751375232997334839805040,17276634542905604710577116365996899082264965256457911576320831338323569258881,2025-07-01T16:00:00Z
2025-07-01,1pm,bitcoin-up-or-down-july-1-1pm-et,42624907271432527416367549508362250060153922294382129211618275961377544304295,79401962497206456129883115732418858724196752977675055460682864226597775531910,2025-07-01T17:00:00Z
2025-07-01,2pm,bitcoin-up-or-down-july-1-2pm-et,89510919933408517690337515965081623480967481530136115927136350922084911611815,79892313921410154886484423971868328110627974939528816824446642175555508277173,2025-07-01T18:00:00Z
2025-07-01,3pm,bitcoin-up-or-down-july-1-3pm-et,97968879116831256695926996860129456710456490777609174723256567015438465370636,27931589023702027912853054374836827023857372296350282760889817021863585931099,2025-07-01T19:00:00Z
2025-07-01,4pm,bitcoin-up-or-down-july-1-4pm-et,92405509958224908261341471596202107653241421309157368372750933648304798218332,96459503189526856864976101780285434272319837697056090641849062667315830674960,2025-07-01T20:00:00Z
2025-07-01,5pm,bitcoin-up-or-down-july-1-5pm-et,3690812638627770038873958280116278176382883083319473055767795406525778448858,62598004727099951259663885289376203880177548717072896321089377885369524886648,2025-07-01T21:00:00Z
2025-07-01,6pm,bitcoin-up-or-down-july-1-6pm-et,46049908139197790000771180356923915432529644835196065022477670419831170050955,29052460621121520384624937932504903221319471808983947875743451005168462200584,2025-07-01T22:00:00Z
